Record identifier,Bureau of Meteorology Station Number,Rainfall district code,Station Name,Month/Year site opened. (MM/YYYY),Month/Year site closed. (MM/YYYY),Latitude to 4 decimal places in decimal degrees,Longitude to 4 decimal places in decimal degrees,Method by which latitude/longitude was derived,State,Height of station above mean sea level in metres,Height of barometer above mean sea level in metres,WMO (World Meteorological Organisation) Index Number,First year of data supplied in data file,Last year of data supplied in data file,Percentage complete between first and last records,Percentage of values with quality flag 'Y',Percentage of values with quality flag 'N',Percentage of values with quality flag 'W',Percentage of values with quality flag 'S',Percentage of values with quality flag 'I',
st,14959,14GA,FLORINA                                 ,Jan-87,       ,-14.4524,131.686,GPS            ,NT ,60,      ,     ,1987,2015,65,97,2,0,1,0,#
st,14960,14GA,PINE CREEK COUNCIL                      ,Feb-00,       ,-13.8243,131.832,GPS            ,NT ,205.5,206.5,     ,2000,2015,78,99,  *,  *,  *,0,#
st,14961,14GA,MANBULLOO                               ,Jan-95,       ,-14.5543,132.2241,GPS            ,NT ,125,      ,     ,1995,2015,83,93,4,0,3,0,#
st,14962,14GA,YEURALBA RIDGE                          ,Oct-02,       ,-14.2541,132.7357,GPS            ,NT ,282,      ,     ,2002,2015,93,0,100,0,0,0,#
st,14965,14GA,UPPER SEVENTEEN MILE CREEK              ,Jan-03,       ,-14.1881,132.3961,GPS            ,NT ,220,      ,     ,2003,2015,83,0,100,0,0,0,#
st,14966,14GA,NITMILUK RIDGE                          ,Jan-03,       ,-14.3148,132.4248,GPS            ,NT ,212,      ,     ,2003,2015,90,0,100,0,0,0,#
st,14967,14GA,EDITH FARMS ROAD                        ,Jul-03,       ,-14.3055,132.0772,GPS            ,NT ,125,      ,     ,2003,2015,100,98,2,0,  *,0,#
st,14970,14GA,FANNY CREEK                             ,Aug-06,       ,-14.1084,132.9004,GPS            ,NT ,218,      ,     ,2006,2015,90,0,100,0,0,0,#
st,14972,14GA,MOUNT STOW                              ,Oct-07,       ,-13.8516,132.6505,GPS            ,NT ,322,      ,     ,2007,2015,93,0,100,0,0,0,#
st,14974,14GA,MATHISON                                ,Aug-08,       ,-15.1542,131.6982,GPS            ,NT ,186,      ,     ,2008,2015,99,95,4,0,1,0,#
st,14979,14GA,KATHERINE - BRAY RD                     ,Feb-11,       ,-14.4904,132.1732,GPS            ,NT ,110,      ,     ,2011,2015,85,91,7,0,2,0,#
st,15003,15A ,AMUNGEE MUNGEE                          ,Nov-11,       ,-16.4817,134.095,MAP 1:250 000  ,NT ,270,      ,     ,2013,2014,93,99,0,0,1,0,#
st,15004,15A ,AUSTRAL DOWNS                           ,Jun-14,       ,-20.502,137.7745,GPS            ,NT ,193,      ,     ,1914,2015,75,99,1,0,  *,0,#
st,15005,15A ,AVON DOWNS                              ,Jan-09,       ,-20.0297,137.4907,GPS            ,NT ,205,      ,     ,1909,2015,96,99,1,0,  *,0,#
st,15006,15A ,STURT PLAIN (HAYFIELD)                  ,Dec-13,       ,-17.0657,133.4119,GPS            ,NT ,237,      ,     ,2013,2015,93,93,7,0,0,0,#
st,15015,15A ,HELEN SPRINGS                           ,Jan-45,       ,-18.4336,133.8774,GPS            ,NT ,288,      ,     ,1945,2015,96,98,2,0,  *,0,#
st,15019,15A ,LAKE NASH                               ,01/1891,       ,-20.9645,137.9214,GPS            ,NT ,194,      ,     ,1891,2014,94,96,4,0,  *,0,#
st,15027,15A ,ROCKHAMPTON DOWNS                       ,Jan-48,       ,-18.9488,135.1935,GPS            ,NT ,224.6,      ,     ,1948,2015,92,99,  *,0,1,0,#
st,15040,15A ,SOUDAN                                  ,Jan-50,       ,-20.0519,137.0188,GPS            ,NT ,225,      ,     ,1950,2015,70,99,  *,0,  *,0,#
st,15041,15A ,EVA DOWNS                               ,Jan-50,       ,-18.0014,134.8618,GPS            ,NT ,214,      ,     ,1950,2015,53,99,1,0,  *,0,#
st,15067,15A ,BANKA BANKA                             ,Jan-46,       ,-18.792,134.0297,GPS            ,NT ,299,      ,     ,1946,2014,72,99,  *,0,  *,0,#
st,15081,15A ,ANTHONY LAGOON                          ,Jun-63,       ,-17.9777,135.5322,GPS            ,NT ,213,      ,     ,1899,2015,86,99,  *,0,  *,0,#
